#engname,名前,レア度,スロット,入手時期／HR,入手時期／村☆,スキル系統1,スキル値1,スキル系統2,スキル値2,生産素材A1,個数,生産素材A2,個数,生産素材A3,個数,生産素材A4,個数,生産素材B1,個数,生産素材B2,個数,生産素材B3,個数,生産素材B4,個数
SteadfastJwl[1],耐絶珠【１】,4,1,1,2,Stun,1,Paralysis,-1,Suiko Jewel,1,Brd Wyvern Fang,3,,,,,,,,,,,,
VigilanceJwl[1],制絶珠【１】,5,1,1,3,Stun,2,,,Akito Jewel,1,Regal Frill,1,Aoashira Pelt,2,,,Battlefield Jwl,1,Grt Jaggi Hide+,2,,,,
ParalysisJwl[1],耐痺珠【１】,4,1,1,2,Paralysis,1,Poison,-1,Suiko Jewel,1,Bnahabra Shell,2,,,,,,,,,,,,
ParalysisJwl[2],耐痺珠【２】,6,2,1,4,Paralysis,3,Poison,-1,Akito Jewel,1,Rangurotora Clw,2,Monster Fluid,2,,,Battlefield Jwl,1,Torpor Sac,1,,,,
Pep Jewel[1],耐眠珠【１】,4,1,2,3,Sleep,1,Mud/Snow,-1,Suiko Jewel,1,Baggi Hide,2,,,,,,,,,,,,
Pep Jewel[2],耐眠珠【２】,4,2,2,4,Sleep,3,Mud/Snow,-1,Akito Jewel,1,Regal Crest,1,Warm Pelt,2,,,Battlefield Jwl,1,Coma Sac,1,,,,
Antidote Jwl[1],耐毒珠【１】,4,1,1,2,Poison,1,Stun,-1,Suiko Jewel,1,Froggi Hide,2,,,,,,,,,,,,
Antidote Jwl[2],耐毒珠【２】,4,2,1,3,Poison,3,Stun,-1,Akito Jewel,1,Grt Frggi Arm,2,Screamer,2,,,Battlefield Jwl,1,Toxin Sac,1,,,,
FortitudeJwl[1],耐防珠【１】,4,1,1,2,Fortitude,2,,,Suiko Jewel,1,Armor Seed,2,Catalyst,2,,,,,,,,,,
Alarm Jewel[1],防盗珠【１】,4,1,1,2,Anti-Theft,2,,,Suiko Jewel,1,Felvine,3,,,,,,,,,,,,
Teflon Jewel[1],耐粘珠【１】,4,1,1,3,Mud/Snow,1,Sleep,-1,Suiko Jewel,1,Rhenoplos Shell,2,,,,,,,,,,,,
LubricantJwl[1],抗粘珠【１】,5,1,2,4,Mud/Snow,2,,,Akito Jewel,1,Rangrtora Belly,1,Bealite Ore,2,,,,,,,,,,
RetroviralJwl[1],耐菌珠【１】,4,1,1,3,Antiseptic,1,Sense,-1,Suiko Jewel,1,Ludroth Hide,2,,,,,,,,,,,,
AntiviralJwl[1],抗菌珠【１】,4,1,1,3,Antiseptic,2,,,Akito Jewel,1,Spongy Hide,1,Earth Crystal,2,,,,,,,,,,
Anchor Jewel[1],耐震珠【１】,5,1,1,3,Quake Res,1,Sleep,-1,Suiko Jewel,1,Fertile Mud,1,,,,,,,,,,,,
Tectonic Jwl[1],抗震珠【１】,4,1,2,4,Quake Res,2,,,Akito Jewel,1,Hprbkka Skl Shl,1,Carpenterbug,2,,,,,,,,,,
Cooling Jwl[1],耐暑珠【１】,5,1,1,2,Heat Res,2,,,Suiko Jewel,1,Ice Crystal,3,,,,,,,,,,,,
Warming Jwl[1],耐寒珠【１】,4,1,2,3,Cold Res,2,,,Suiko Jewel,1,Baggi Scale,2,,,,,,,,,,,,
